一: b
丁: bm
七: bn
万: bue
丈: bec
三: bbb
上: dbb
下: bda
不: beda
与: bxb
丐: bdbx
丑: zdbb
专: bb5a
且: dzbbb
丕: bedab
世: bddb2
丘: edbdb
丙: bduea
业: ddaeb
丛: eaecb
东: b3mea
丝: 3333b
丞: hmhecb
丢: ebdb3a
两: bdueaea
严: bddaebe
丧: bdaebjec
个: ecd
丫: aed
中: dzbd
丰: bbbd
串: dzbdzbd
临: ddebadzdb
丸: ewa
丹: euab
为: aeua
主: abbdb
丽: bduadua
举: aaebecbbd
乂: ec
乃: re
久: ehc
么: e3a
义: aec
之: ahc
乌: euxb
乍: ebdbb
乎: eaebm
乏: eahc
乐: e2mea
乒: edbdbe
乓: edbdba
乔: ebeced
乖: ebddbfen
乘: ebddbfenec
乙: w
乜: un
九: ew
乞: ebw
也: udn
习: uaf
乡: 33e
书: zuda
乩: dbdzbn
买: haabea
乱: ebddzbn
乳: eaaehmfn
乾: bddzbbbdebw
了: hm
予: hahm
争: ehzbbm
事: bdzbzbbm
二: bb
亍: bbm
于: bbm
亏: bbx
云: bb3a
互: b3hb
亓: bbed
五: bdzb
井: bbed
亘: bdzbbb
亚: bddaeb
些: dbdfenbb
亟: hmdzbhab
亡: ab2
亢: abew
交: abeaec
亥: ab3eea
亦: abemea
产: abaebe
亨: abdzbhm
亩: abdzbdb
享: abdzbhmb
京: abdzbmea
亭: abdzbahbm
亮: abdzbahew
亲: abaebbmea
亳: abdzbahebn
亵: abbmfewaejec
亶: abdzdzbbdzbbb
亸: abdzbhmfaedzbbbd
人: ec
亿: edw
什: edbd
仁: edbb
仂: edue
仃: edbm
仄: beec
仅: edhc
仆: edda
仇: edew
仉: edew
今: ecah
介: eced
仍: edre
从: eaec
仑: ecen
仓: ecun
仔: edhmb
仕: edbdb
他: edudn
仗: edbec
付: edbma
仙: edd2d
仞: eduea
仟: edebd
仡: edebw
代: edboa
令: ecaha
以: jaea
仨: edbbb
仪: edaec
仫: ede3a
们: edadu
仰: edejud
仲: eddzbd
仳: edbjen
仵: edebbd
件: edebbd
价: edeced
任: edebdb
份: edecue
仿: edabue
企: ecdbdb
伉: edabew
伊: edzbbe
伋: ede6c
伍: edbdzb
伎: edbdhc
伏: edbeca
伐: edboea
休: edbdec
众: eceaec
优: edbena
伙: edaeec
会: ecbb3a
伛: edbea2
伞: ecaebd
伟: edbbud
传: edbb5a
伢: edb3me
伤: edebue
伥: edebjc
伦: edecen
伧: edecun
伪: edaeua
伫: edaahb
伯: ededzbb
估: edbddzb
伴: edaebbd
伶: edecaha
伸: eddzbbd
伺: edubdzb
似: edjaea
伽: eduedzb
伾: edbedab
佃: eddzbdb
但: eddzbbb
位: edabaeb
低: edejboa
住: edabbdb
佐: edbebdb
佑: edbedzb
体: edbdecb
何: edbdzbm
佗: edaahen
佘: ecbbmea
余: ecbbmea
佚: edebbec
佛: edzbxed
作: edebdbb
佝: edeudzb
佞: edbbieb
佟: edehcaa
你: edehmea
佣: edeubbd
佤: edbjwa
佥: ecbaaeb
佩: edewbdud
佬: edbdbeen
佯: edaebbbd
佰: edbedzbb
佳: edbdbbdb
佴: edbddbbb
佶: edbdbdzb
佻: edeafnea
佼: edabeaec
佾: edecdubb
使: edbdzbec
侃: eddzbedn
侄: edb3abdb
侈: edehaeha
侉: edbecbbx
例: edbehadm
侍: edbdbbma
侏: edebbdec
侑: edbedubb
侔: ed3aebbd
侗: eddubdzb
供: edbddbea
依: edabejec
侠: edbaebec
侣: eddzbdzb
侥: edboeben
侦: eddbdzea
侧: eddzeadm
侨: edebeced
侩: edecbb3a
侪: edabeced
侬: edahejec
侮: edeb2uaba
侯: edzbebbec
侵: edzbbahhc
便: edbdzbbec
促: eddzbdbec
俄: edebmfoea
俅: edbmafeca
俊: ed3aeaehc
俎: eaeadzbbb
俏: eddaedubb
俐: edebdeadm
俑: edhadubbd
俗: edeaecdzb
俘: edeaaehmb
俚: eddzbbdbb
俜: eddzbdbbx
保: eddzbbdec
俞: ecbdubbdm
俟: ed3aebbec
信: edabbbdzb
俣: eddzbbbec
俦: edbbbebma
俨: edbddaebe
俩: edbdueaea
俪: edbduadua
俭: edecbaaeb
修: eddehceee
俯: edabeedbma
俱: eddzbbbbea
俳: eddbbbdbbb
俵: edbbdbejec
俶: eddbbmeahc
俸: edbbbecbbd
俺: edbecdzbbn
俾: ededzbbebd
倌: edaahdzbzb
倍: edabaebdzb
倏: eddehcbeaa
倒: edb3abdfdm
倓: edaeeaaeec
倔: edzbe2dd2d
倘: eddaedudzb
候: eddzbebbec
倚: edbeabdzbm
倜: edeubdbdzb
倞: edabdzbmea
借: edbddbdzbb
倡: eddzbbdzbb
倥: edaaheabdb
倦: edaebbecun
倨: edzbebddzb
倩: edbbdbdubb
倪: ededbzbben
倬: eddbdzbbbd
